1	0.6604	28.99	5.024	15.95796759	66.557	20.324	37.60878241
2	0	20.603	1.751	11.30981944	83.958	17.879	50.47690625
3	0	22.776	2.182	12.70776736	89.269	25.054	55.09275347
4	0.0254	22.465	4.74	12.47703472	91.851	32.061	65.84434722
5	0.2032	20.293	9.41	14.55915278	93.631	45.14	72.95303125
6	0	23.689	10.247	16.96818056	81.155	44.014	64.16702778
7	0	25.404	10.026	18.20981597	97.384	49.015	71.09453125
8	0	27.063	14.457	20.62234722	87.109	53.573	65.69239931
9	0	29.04	16.654	22.44427431	88.865	44.777	68.71696875
10	0	29.715	14.745	22.55775347	90.075	43.049	66.01295486
11	0	29.89	17.13	22.03928125	88.254	53.741	70.83835069
12	0	27.554	13.137	20.85920833	91.892	70.946	82.02231597
13	0	28.32	12.63	19.84352083	94.703	55.777	78.93998611
14	0	30.646	17.51	23.74968403	83.884	48.081	65.64290972
15	1.1176	22.633	14.026	18.68229514	96.972	62.631	81.40208681
16	0.1524	18.224	6.788	12.108	87.526	42.388	67.16663542
17	0.508	8.817	4.246	6.288180556	94.346	66.101	84.40846181
18	0	16.225	2.155	9.978486111	90.063	38.803	60.73852431
19	0	20.246	3.564	12.60966667	94.828	33.067	58.32794097
20	0	22.13	8.693	14.57768403	90.819	49.689	70.6241875
21	0	24.629	8.02	17.21587153	92.703	43.083	66.16155208
22	0	24.315	10.638	17.58476736	95.812	52.006	75.92013194
23	0	27.014	12.001	19.05517014	98.694	42.622	72.75708681
24	0	28.642	16.987	22.46317708	74.951	44.515	58.19841667
25	0	31.306	18.628	24.32592361	78.302	44.49	58.21827083
26	0	32.278	19.365	25.24713542	75.328	46.164	62.48067708
27	0.254	25.623	19.817	22.53657639	98.228	74.167	86.26305208
28	0	30.016	19.103	23.54605208	99.642	62.746	86.61160417
29	0.635	31.714	20.126	24.31490972	99.396	58.48	86.26285069
30	0.4826	29.84	19.746	23.61830556	98.587	67.582	87.45969444
31	0.1016	31.663	18.675	24.65042361	97.553	57.265	77.16438194
32	0.0508	30.091	17.867	22.62202083	98.727	54.318	83.70140625
33	0	30.066	16.487	22.45646181	97.656	41.594	69.076875
34	0.0254	27.899	14.601	19.43054167	94.829	51.405	73.76359375
35	0	26.867	12.147	19.10055556	96.895	47.192	71.37146181
36	0.0254	26.744	10.247	18.15768056	91.015	36.205	57.24901736
37	0	29.89	9.756	20.57853125	96.401	28.106	57.34394792
38	0.6096	26.28	16.82	21.562625	98.383	48.168	83.13970486
39	0.0508	23.954	15.414	19.31375347	99.445	76.105	92.11768403
40	0.0254	28.916	16.392	22.02200347	99.699	56.604	83.79261806
41	0.0254	19.674	9.46	16.54842361	99.294	78.684	92.09387847
42	0.0254	22.274	5.821	13.56692708	97.786	52.71	75.82192708
43	0.0254	23.184	10.614	16.68078125	95.175	64.907	81.31872917
44	0.0254	23.472	14.792	18.69764583	98.359	63.688	82.03718056
45	0.0254	22.944	18.057	20.37442014	100	91.771	97.83100694
46	0.0254	26.134	19.579	21.77483681	100	91.967	99.01144097
47	0.0254	28.171	18.414	22.58981597	100	85.233	96.22200694
48	0.0254	28.122	16.463	21.93128125	100	77.321	94.10470486
