-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
48	0	0
-1	-1	-1
-1	-1	-1
-1	-1	-1
48	0	0
-1	-1	-1
-1	-1	-1
-1	-2	-1
47	1	0
-1	-1	-1
10	0	0
-1	-1	-1
-1	-1	-1
-1	-2	-1
33	1	0
-1	-1	-1
14	0	0
-1	-1	-1
-1	-1	-1
-1	-3	-1
46	0	2
-1	-1	-1
-1	-1	-1
45	0	0
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
8	1	4
-1	-3	-1
19	0	14
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-2	-1
47	2	0
-1	-1	-1
-1	-1	-1
-1	-2	-1
46	2	0
-1	-1	-1
-1	-1	-1
-1	-1	-1
47	0	0
-1	-2	-1
47	3	0
-1	-1	-1
-1	-1	-1
-1	-2	-1
43	2	0
-1	-2	-1
49	1	0
-1	-1	-1
-1	-1	-1
-1	-2	-1
47	3	0
-1	-1	-1
-1	-2	-1
46	1	0
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
29	2	4
-1	-1	-1
-1	-1	-1
38	1	12
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
50	0	0
-1	-1	-1
-1	-1	-1
-1	-2	-1
49	1	0
-1	-1	-1
-1	-1	-1
-1	-2	-1
45	5	0
-1	-2	-1
33	4	0
-1	-1	-1
-1	-1	-1
-1	-2	-1
49	1	0
-1	-1	-1
50	0	0
-1	-1	-1
-1	-1	-1
-1	-1	-1
43	3	3
-1	-1	-1
-1	-1	-1
42	5	3
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
37	1	14
-1	-3	-1
46	0	4
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
30	0	0
-1	-1	-1
-1	-1	-1
-1	-1	-1
17	0	0
-1	-1	-1
-1	-1	-1
-1	-1	-1
50	0	0
-1	-1	-1
50	0	0
-1	-1	-1
-1	-1	-1
-1	-1	-1
47	0	0
-1	-1	-1
35	0	0
-1	-1	-1
-1	-1	-1
-1	-1	-1
47	2	1
-1	-1	-1
-1	-1	-1
21	0	0
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-3	-1
11	0	3
-1	-3	-1
34	0	16
-1	-1	-1
-1	-1	-1
-1	-1	-1
-1	-1	-1
